Title,Deity,Level,Tempo,Language,Raga
O Holy Presence of my soul,sai,intermediate,medium,english,major (shankarabharanam / bilawal)
"O Lord, Take My Love, Let It Flow In Full Devotion To Thee",sai,intermediate,medium slow,english,major (shankarabharanam / bilawal)
O Uruwashiki Ai no Kami,sai,intermediate,medium fast,japanese,minor (natabhairavi)
Oh Baba Sai Baba,sai,intermediate,slow,english,minor (darbari)
"Oh Mother Divine, please hold my trembling heart",sai,intermediate,medium,english,major (shankarabharanam / bilawal)
"Oh my Lord, I sing Your name out loud; listen to my call",sai,intermediate,medium fast,english,minor (natabhairavi)
Om Bhagawan Om Bhagawan Om Bhagawan Sai Ram Ram Ram (3),sai,intermediate,medium slow,english,
Om Bhagawan Sri Sathya Sai Babaya Namah (3),sai,intermediate,medium fast,sanskrit / hindi,charukeshi
Om Sahasra Roopa Sayeesha,sai,intermediate,fast,sanskrit / hindi,mishra srothaswini
"Om Sai Ram, Om Sai Ram, divine God within","sai, jesus",intermediate,medium fast,english,minor (natabhairavi)
Omkara Naadamayi Sai Deva Sathya Sai Deva,sai,intermediate,medium,sanskrit / hindi,natabhairavi
"On paths of joy, Lord Sai leads us home,",sai,intermediate,medium,english,major (shankarabharanam / bilawal)
"One day in Puttaparthi, Sai was born",sai,intermediate,medium,english,harmonic minor
Ooinaru Kami yo (Sai),sai,intermediate,medium slow,japanese,~ minor (karaharapriya / kafi)
Partheeshwara Sai Baba Aao Aao Sai Nandalala,sai,intermediate,fast,sanskrit / hindi,darbari
Parthi Nandana Radhey Shyama,sai,intermediate,medium,sanskrit / hindi,tilang
Parthi Puri Mata Sri Sathya Sai Mata,sai,intermediate,medium slow,sanskrit / hindi,darbari
Parthi Puri Mey Janam Liya Jo Sai Baba Naam Hai,sai,intermediate,medium fast,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Permiteme poner a tus Pies,sai,intermediate,medium slow,spanish,~ minor (natabhairavi)
Prabhu Leela Prabhu Mahima,sai,intermediate,medium,sanskrit / hindi,yaman kalyan
Pranams to the Mystic Sai Baba,"sai, sarva dharma",intermediate,medium fast,english,minor (natabhairavi)
Prem Se Bolo Ek Baar Sai Ram,sai,intermediate,medium,sanskrit / hindi,gavati
Puttaparthi no Kamisama Watashi wa Kimashita,sai,intermediate,medium slow,japanese,major (pahadi)
Ragamayi Anuragamayi,sai,intermediate,medium fast,sanskrit / hindi,bageshri
Rajadhi Raja Hey Sai Maharaja,sai,intermediate,medium fast,sanskrit / hindi,~ shankarabharanam / bilawal
Rajadhi Raja Raja Gambhira,sai,intermediate,medium fast,telugu,atana
Ram Bhagawan Ram Bhagawan Ram Bhagawan Sita Ram Bhagawan,sai,intermediate,medium slow,sanskrit / hindi,mishra keeravani
Ravikula Mandana Rajeeva Lochana Raghava,"rama, krishna, sai",intermediate,medium slow,sanskrit / hindi,shankarabharanam / bilawal
Recuerdame Sai (3) Quien Soy Yo,sai,intermediate,medium,spanish,minor (natabhairavi)
Remind Me My Lord (3) Who I Am,sai,intermediate,medium,english,minor (natabhairavi)
"Lord, I’ve sought You life after life,",sai,intermediate,medium,english,major (shankarabharanam / bilawal)
Saa Funade no Toki wa Kitari,sai,intermediate,medium,japanese,major (mohana kalyani / shuddha kalyan)
Sada Nirantara Hari Guna Gao,sai,intermediate,medium slow,sanskrit / hindi,charukeshi
Sahara Do Bhagawan,sai,intermediate,medium,sanskrit / hindi,naga gandhari
(Sathya) Sai Baba's coming to fill up our hearts (2),sai,intermediate,medium,english,~ minor (sindhu bhairavi / bhairavi)
Sai Baba Sakala Bhuvana Ke Daata (3),sai,intermediate,medium,sanskrit / hindi,bageshri
Sai Bhajana Vaibhavamu,sai,intermediate,fast,telugu,mishra abheri / bhimpalas
Sai Charan Sukh Dayi Man,sai,intermediate,slow,sanskrit / hindi,natabhairavi
Sai Govinda Sai Gopala,sai,intermediate,medium,sanskrit / hindi,mishra shivaranjani
Sai Hai Jeevan Jeevan Sathya Sai,sai,intermediate,medium,sanskrit / hindi,natabhairavi
(Sathya) Sai ichi naru Kami Oh uchuu no Kami yo,sai,intermediate,fast,japanese,minor (jaunpuri)
Sai Jayanti Prashanthi Niketana,sai,intermediate,medium,sanskrit / hindi,abheri / bhimpalas
Sai Ke Darbar Mey Aao,sai,intermediate,medium fast,sanskrit / hindi,darbari
"Sai Krishna, Murali Krishna, Oh Lord You have Stolen My Heart","krishna, sai",intermediate,medium,english,harmonic minor
Sai Mahadeva (Sathya),sai,intermediate,medium slow,sanskrit / hindi,karaharapriya / kafi
Sai Mata Pitha Deena Bandhu Sakha,sai,intermediate,medium,sanskrit / hindi,mohana kalyani / shuddha kalyan
Sai Mera Jeevan Dhaara Mujhe Daya Karo Bhagawan,sai,intermediate,medium slow,sanskrit / hindi,~ keeravani
Sai Naamamey Brahmanandamu Sai Charanamey Divyanandamu,sai,intermediate,medium,telugu,pahadi
Sai Narayana Narayana Mangala Naam,sai,intermediate,medium fast,sanskrit / hindi,madhyamavati / madhmad sarang
Sai Natha Deena Natha Brahma Rupa Deva,sai,intermediate,fast,"sanskrit / hindi, english","madhyamavati / madhmad sarang, minor (natabhairavi)"
"Sai no Ai wa Haha no Ai, Sai no Ai wa Chichi no Ai",sai,intermediate,medium,japanese,minor (natabhairavi)
Sai no Ai wa Kagiri Naku,sai,intermediate,medium,japanese,major (shankarabharanam / bilawal)
Sai no Mina wo Yobu (Sathya),sai,intermediate,medium fast,japanese,minor (natabhairavi)
Sai of Love ... Sai of Light,sai,intermediate,slow,english,major (shankarabharanam / bilawal)
Sai Of My Heart Take My Soul And Merge It With Thee,sai,intermediate,medium,english,minor (natabhairavi)
Sai Raghurama,sai,intermediate,medium,sanskrit / hindi,mohanam / bhoop
Sai Ram Ghana Shyam Bhagawan Tumhara Naam,sai,intermediate,medium slow,sanskrit / hindi,~ yaman kalyan
"Sai Ram hear my call to You, Sai Ram hear my call",sai,intermediate,medium,english,minor (natabhairavi)
Sai Rama Your Eyes I Am Caught In Your Eyes Sai Rama,sai,intermediate,medium fast,english,harmonic minor
Sai Ramanin Naamam Solvom,sai,intermediate,medium,tamil,karaharapriya / kafi
Sai Sai Sathya Sai,sai,intermediate,medium,japanese,minor (natabhairavi)
Sai Shankara,sai,intermediate,medium slow,sanskrit / hindi,hamir kalyani / kedar
Sai Tero Naam Tero Naam,"sai, guru",intermediate,medium,sanskrit / hindi,"yaman kalyan, desh"
Sakala Bhuvana Ke Prabhu Parameshwara,sai,intermediate,slow,sanskrit / hindi,pahadi
Sanathana Sarathey Sayeesha,"sai, guru",intermediate,medium slow,sanskrit / hindi,vakulabharanam / basant mukhari
Sathya Dharma Shanthi Prema Sab Ko Deejo,"sai, guru",intermediate,medium fast,sanskrit / hindi,mayamalavagowla / bhairav
Sathya Dharmamu Shanthi Premalato,sai,intermediate,medium slow,telugu,mishra vakulabharanam / basant mukhari
Sathya Sai no Ai to Ikiru Yorokobi wo tomo ni,sai,intermediate,medium fast,japanese,major (shankarabharanam / bilawal)
Sathya Swaroopa Sai Bhagawan,sai,intermediate,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Sayeesha Sharanam Sharanam Sayeesha,sai,intermediate,medium,sanskrit / hindi,pilu
See God In Each Other,sai,intermediate,slow,english,major (shankarabharanam / bilawal)
"Service is love, service is truth, service is God",sai,intermediate,medium fast,english,minor (natabhairavi)
"Set it free, set your spirit flying, flying toward the light,",sai,intermediate,medium,english,major (shankarabharanam / bilawal)
Shankara Roopa Sajjana Vanditha Sai Rama Namosthuthey,sai,intermediate,medium,sanskrit / hindi,~ harikamboji
Shata Baar Kaho Rey Sai Ram Sai Ram Sai Ram Sai Ram,sai,intermediate,medium fast,sanskrit / hindi,yaman kalyan
Shirdi Ke Sai Parthi Ke Baba,sai,intermediate,medium,sanskrit / hindi,natabhairavi
Shirdi Mandir Se Aao Merey Sai,sai,intermediate,medium,sanskrit / hindi,sindhu bhairavi / bhairavi
Shirdi Sai Dwarakamayi Jai Jai Ho Sathya Sai Ram,sai,intermediate,medium fast,sanskrit / hindi,lalit
Shirdi Sai Parthi Baba,"sai, guru",intermediate,medium slow,sanskrit / hindi,pahadi
Shirdi Sai Parthi Sai Hum Ko Deejo Premamrutha Dhara Premamrutha Dhara,sai,intermediate,medium,sanskrit / hindi,pahadi
"Shirdi Sai Parthi Sai, both names are one, give us all endless flow of Love, give us all endless flow of Love",sai,intermediate,medium,english,major (pahadi)
Shirdiyil Vazhnda Baba Puttaparthiyil Piranda Baba,sai,intermediate,medium fast,tamil,shankarabharanam / bilawal
Shiva Shambho Narayana,sai,intermediate,medium slow,sanskrit / hindi,bageshri
Somebody loves you more than you know,sai,intermediate,medium slow,english,~ major (shankarabharanam / bilawal)
Sora ni Ukanda Shiroi Kumo,sai,intermediate,slow,japanese,major (shankarabharanam / bilawal)
Sora Tobu Tori ni mo,sai,intermediate,medium fast,japanese,major (mohanam / bhoop)
Start the day with love,sai,intermediate,medium,english,minor (natabhairavi)
Step Back,sai,intermediate,medium,english,"harmonic minor, major (shankarabharanam / bilawal)"
Subete no Kokoro ni Yadoru Sai,sai,intermediate,medium fast,japanese,minor (hindolam / malkauns)
Subete wo mimamoru hahanaru Sai,sai,intermediate,medium,japanese,major (shankarabharanam / bilawal)
Sundar Sundar Sai Sundar,sai,intermediate,medium,sanskrit / hindi,kalyani / yaman
Sundara Vadana Sarasija Nayana,sai,intermediate,medium,sanskrit / hindi,kalyani / yaman
Eshwaramba Suthah Sriman,sai,intermediate,slow,sanskrit / hindi,shuddha saveri / durga
Eshwaramba’s Resplendent Son,sai,intermediate,slow,english,major (mohanam / bhoop)
You sweep me away with Your love for me (2x),sai,intermediate,medium fast,english,major (shankarabharanam / bilawal)
"Sweeter than music is the Love He has,",sai,intermediate,medium slow,english,major (mohanam / bhoop)
Tada Anata wo Omou Kokoro Desu,sai,intermediate,medium fast,japanese,minor (natabhairavi)
Tataeyo Tataeyo Sai Baba wo,sai,intermediate,fast,japanese,minor (~ sindhu bhairavi / bhairavi)
"Teacher of teachers, Guru of gurus,",sai,intermediate,medium fast,english,~ major (shankarabharanam / bilawal)
Terey Janam Din Me Sai Tujhe Koti Pranam Karenge,sai,intermediate,medium fast,"sanskrit / hindi, english",minor (sindhu bhairavi / bhairavi)
Terey Siwa Prabhu Koi Nahin Hai Tujko Mera Pranam,sai,intermediate,slow,sanskrit / hindi,~ gavati
"Every morning when the sun comes out to play,",sai,intermediate,medium slow,english,major (shankarabharanam / bilawal)
"I see the face of love, in His loving eyes,",sai,intermediate,medium,english,major (shankarabharanam / bilawal)
The Grace Of The Lord,"sai, jesus",intermediate,medium slow,english,major (mohanam / bhoop)
The Heart's Melody,sai,intermediate,medium,english,major (shankarabharanam / bilawal)
The Name Of God Is Flowing Within Me,"sai, sarva dharma",intermediate,medium fast,english,~ major (harikamboji)
The Power of the Love of God,sai,intermediate,medium,english,"minor (natabhairavi), major (shankarabharanam / bilawal)"
"There Is Love Within Me (3), I Am Love",sai,intermediate,medium,english,minor (natabhairavi)
There is someone above to guide me,sai,intermediate,medium,english,major (shankarabharanam / bilawal)
There's a change in the air,sai,intermediate,medium fast,english,major (shankarabharanam / bilawal)
There’s only One Light ... only One Light,sai,intermediate,medium slow,english,major (shankarabharanam / bilawal)
Thy will be done on earth as in heaven,sai,intermediate,medium fast,english,minor (natabhairavi)
To The One,sai,intermediate,slow,english,~ minor (natabhairavi)
Todo Mi Amor Te Lo Doy a Ti Baba,sai,intermediate,slow,spanish,minor (natabhairavi)
Toki wo Watari Michibiku Sai Rama Sai Krishna Sai Baba,sai,intermediate,medium,japanese,minor (natabhairavi)
Towa ni Hibiku no wa Kami wo Tataeru Uta,sai,intermediate,slow,japanese,major (shankarabharanam / bilawal)
Tu eres el Amor de este corazon,sai,intermediate,medium,spanish,minor (natabhairavi)
Tum Ho Daata Sai Shankara,sai,intermediate,medium,sanskrit / hindi,~ madhuvanti
Uchinaru Kami no Mina wo Yobeba,sai,intermediate,medium slow,japanese,minor (natabhairavi)
Umi yori Fukai Ai no Kamisama,sai,intermediate,fast,japanese,minor (natabhairavi)
"Utsuroi Yuku Toki no Nagare ni, Mi wo Oki Kami to Ikiru",sai,intermediate,slow,japanese,major (mohanam / bhoop)
Varuvai Niye Sai Nada,sai,intermediate,medium,tamil,~ jaunpuri
Viene con el Sol en la voz,sai,intermediate,medium,spanish,minor (natabhairavi)
Vinati Suno Merey Sai Bhagawan,sai,intermediate,medium,sanskrit / hindi,pilu
Wake Up Now My Children Wherever You Are,sai,intermediate,medium,english,harmonic minor
Walk with me,sai,intermediate,medium,english,major (mohanam / bhoop)
Warera no Sai Bhagawan,sai,intermediate,medium,japanese,~ major (tilang)
Watashi wo Toraete Hanasanaide Kudasai,sai,intermediate,medium slow,japanese,~ minor (karaharapriya / kafi)
"We are marching in the light of God,",sai,intermediate,medium fast,"english, zulu / ndebele / sotho",major (shankarabharanam / bilawal)
"We Are One In Love Forever, Shining Like The Sun",sai,intermediate,medium fast,english,minor (natabhairavi)
We saw the love in Your eyes,sai,intermediate,medium slow,english,major (shankarabharanam / bilawal)
"We're Never Away From The Avatar Eyes, Avatar Eyes, Sai Avatar Eyes",sai,intermediate,slow,english,harmonic minor
"When Dark Clouds Fill Your Skies, Hiding Sunshine From Your Eyes",sai,intermediate,fast,english,harmonic minor
Who can still the stirring of a soul,sai,intermediate,medium slow,english,harmonic minor
Who Is The Lord Of The Universe,sai,intermediate,medium fast,english,major (shankarabharanam / bilawal)
Why Fear When I Am Here?,sai,intermediate,medium,english,minor (natabhairavi)
Without Singing To The Lord There's No Peace Or Happiness,sai,intermediate,medium,english,major (khamaj)
Wouldn't it be nice,sai,intermediate,medium slow,english,major (shankarabharanam / bilawal)
You Are Alive In Our Hearts,sai,intermediate,medium,english,major (shankarabharanam / bilawal)
You are the rhythm in the holy rain,sai,intermediate,medium,english,minor (natabhairavi)
"You are mine mine mine, You are mine",sai,intermediate,fast,english,minor (natabhairavi)
"You Are My Mother, You Are My Father ",sai,intermediate,slow,english,harmonic minor
You are the Lord of my heart and my soul,sai,intermediate,medium,english,major (shankarabharanam / bilawal)
Your Hands Are Upon Me,sai,intermediate,medium slow,english,major (shankarabharanam / bilawal)
"Your Sweet, Sweet Love",sai,intermediate,medium,english,major (shankarabharanam / bilawal)
"A Temple In My Heart, A Prayer In My Soul, ",sai,simple,medium fast,english,major (shankarabharanam / bilawal)
Aa Gyen Baba Ji Tvadde Naam De Bhikhari,"guru, sai",simple,medium fast,punjabi,sindhu bhairavi / bhairavi
"Ageless One,",sai,simple,medium,english,minor (natabhairavi)
Ai no Hikari de Sekai wo Terasu Kami,sai,simple,medium fast,japanese,major (shankarabharanam / bilawal)
"Ai no Kami Sai Baba, Haha Naru Sri Sathya Sai",sai,simple,medium,japanese,major (shankarabharanam / bilawal)
Ai no Omoi wo Mune ni,sai,simple,medium,japanese,major (shankarabharanam / bilawal)
Ai no Uta wo Utaou (Minna de),sai,simple,medium,japanese,minor (natabhairavi)
"Ai no Uta, Kami no Uta",sai,simple,medium slow,japanese,major (shankarabharanam / bilawal)
"Al Mirarte A Los Ojos Sai Baba, Despertaste Todo Mi Amor",sai,simple,medium,spanish,pilu
"All praise to You, Lord of the Worlds",sai,simple,medium fast,english,major (shankarabharanam / bilawal)
Alleluia Allelu Alleluia,"sai, jesus",simple,medium,english,major (shankarabharanam / bilawal)
"Always be happy, Baba says",sai,simple,medium fast,english,major (shankarabharanam / bilawal)
"Amai, Amai, Kizuna wo Shiru",sai,simple,medium,japanese,minor (natabhairavi)
Amen Amen,sai,simple,medium slow,english,minor (natabhairavi)
Anand Se Bolo Jai Baba Jai Prem Se Bolo Jai Baba Jai,sai,simple,medium fast,sanskrit / hindi,harikamboji
Anata ni Au Tameni Umareta,sai,simple,medium fast,japanese,major (mohanam / bhoop)
Anata no Ai ga Watashi no Subete,sai,simple,medium slow,japanese,minor (natabhairavi)
Anata no Ai wa Sekai ni Hirogari,sai,simple,medium fast,japanese,major (shankarabharanam / bilawal)
"Anata to Ikiru, Tomo ni Ikiru, Baba is my life.",sai,simple,fast,japanese,major (shankarabharanam / bilawal)
Anata wa Ram Anata wa Shyam Anata wa Watashi no Sai Bhagawan,sai,simple,fast,japanese,minor (natabhairavi)
"Arigatou Swami, Arigatou Swami",sai,simple,medium fast,japanese,major (mohanam / bhoop)
Aroha mai te Atua iaku,sai,simple,medium fast,maori,major (shankarabharanam / bilawal)
"Asa wo Tsugeru Tori ni, Kyou no Ichinichi wo Inori",sai,simple,medium fast,japanese,major (shankarabharanam / bilawal)
Atma Jyothi Namo Paramatma Jyothi Namo,"sai, guru",simple,medium fast,sanskrit / hindi,mohanam / bhoop
Atma Vichara,sai,simple,medium slow,english,minor (natabhairavi)
Avatar,sai,simple,medium slow,english,major (shankarabharanam / bilawal)
"Baba, be my heart, Baba, be my goal,",sai,simple,medium fast,english,major (shankarabharanam / bilawal)
"Baba, I love You",sai,simple,medium,english,major (shankarabharanam / bilawal)
"Be the heart within my heart,",sai,simple,medium,english,major (shankarabharanam / bilawal)
"Beautiful God, Hallelujah (3)","sai, sarva dharma",simple,medium fast,english,major (shankarabharanam / bilawal)
Bein’ A Channel For The Love Of God,sai,simple,medium fast,english,major (shankarabharanam / bilawal)
"Bhagawan, Take Our Love, Let It Flow To Thee",sai,simple,medium,english,major (shankarabharanam / bilawal)
Bhajo Ghana Shyam Bhajo Sita Ram Bhajo Sathya Sai Ram,"rama, krishna, sai, guru",simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Bhajorey Bhai Sai Ram,sai,simple,medium,sanskrit / hindi,~ shankarabharanam / bilawal
Blessed is the man who trusts in the Lord,sai,simple,medium fast,english,major (shankarabharanam / bilawal)
Blessed Lord of light beams soul I unite,sai,simple,medium fast,english,major (shankarabharanam / bilawal)
Bodhisattva on this earth,sai,simple,medium slow,english,major (shankarabharanam / bilawal)
Bolo Bolo Sai Ram Bolo Bolo Sai Ram Bolo Sai Ram Ji Ki Jai,sai,simple,fast,sanskrit / hindi,major (shankarabharanam / bilawal)
Bow To The Light Within To The Omnipresent Light Of God,"sai, guru",simple,medium fast,english,major (mohanam / bhoop)
"Breathe on me, O Breath of God",sai,simple,slow,english,major (shankarabharanam / bilawal)
"Brothers, sisters, all God's children, let us live in peace as One",sai,simple,medium,english,major (shankarabharanam / bilawal)
By the Grace of God my life is lived,sai,simple,medium slow,english,major (shankarabharanam / bilawal)
Call On The Lord You Love Unceasingly,sai,simple,medium fast,english,~ major (shankarabharanam / bilawal)
Calling God by any name,sai,simple,medium fast,english,major (shankarabharanam / bilawal)
Can't get Enough of Your Love my Lord (2X),sai,simple,fast,english,major (shankarabharanam / bilawal)
Charana Kamala Bando Sai Nath Ke Charana Kamala Bando (2),sai,simple,medium fast,bengali,natabhairavi
Come Here My Dear Krishna Kanhayi,sai,simple,medium fast,multi-lingual,shankarabharanam / bilawal
Come one and all,sai,simple,medium slow,english,major (shankarabharanam / bilawal)
"Dear Lord Ganesha, protector of my soul","ganesha, sai",simple,medium,english,major (shankarabharanam / bilawal)
Divine Mother Soham You And I Are One,"devi, sai, sarva dharma",simple,medium fast,english,minor (natabhairavi)
Don’t Give Up! Just Keep On Givin’,sai,simple,medium,english,major (shankarabharanam / bilawal)
"Dont Worry, Be Happy For Baba Loves Us So",sai,simple,medium fast,english,major (shankarabharanam / bilawal)
Door Of My Heart Open Wide I Keep For Thee,sai,simple,medium,english,minor (natabhairavi)
Dum Dum Dum Dum toca tu tambor,sai,simple,fast,spanish,major (shankarabharanam / bilawal)
"Dum Dum, Dum Dum, listen to the beat of the drum",sai,simple,medium fast,english,~ major (shankarabharanam / bilawal)
Dwell In Our Hearts,sai,simple,medium slow,english,major (shankarabharanam / bilawal)
Ek Baar Kshama Karo Sai Merey Baba Sri Sathya Sai,sai,simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Ekolu mea nui ma ka ho—nua,sai,simple,medium,hawaiian,major (shankarabharanam / bilawal)
Eshwaramba Nandana Sai,sai,simple,,sanskrit / hindi,revagupti
"Everyday as always Sri Sathya Sai Baba,",sai,simple,medium fast,english,minor (natabhairavi)
Faith Medley,sai,simple,,english,major (shankarabharanam / bilawal)
Flame Song,sai,simple,medium fast,english,major (shankarabharanam / bilawal)
Goin’ through life feelin’ free,sai,simple,medium fast,english,major (shankarabharanam / bilawal)
"Follow, Follow, Follow The Lord",sai,simple,fast,english,major (shankarabharanam / bilawal)
Free me to worship You,sai,simple,medium fast,english,major (shankarabharanam / bilawal)
Gently Smiling Sai Residing In The Temple Of My Heart,sai,simple,medium slow,english,major (shankarabharanam / bilawal)
(Bring the power of Your life into our souls,sai,simple,medium,english,minor (natabhairavi)
Giving And Forgiving,sai,simple,medium,english,major (shankarabharanam / bilawal)
"Gloria a Ti, mi Señor,",sai,simple,medium fast,spanish,major (shankarabharanam / bilawal)
God I Am,sai,simple,slow,english,major (shankarabharanam / bilawal)
"God Is All, God Is All, God Is All There Is",sai,simple,fast,english,major (shankarabharanam / bilawal)
God Is in me,sai,simple,medium slow,english,major (shankarabharanam / bilawal)
God is in the sanctuary,sai,simple,fast,english,major (shankarabharanam / bilawal)
"God Of Love, God Of Love, Fill My Heart With Your Treasure",sai,simple,medium slow,english,major (shankarabharanam / bilawal)
"Goddess of Love, Goddess of mercy, I pray to You, come to me",sai,simple,medium,english,major (shankarabharanam / bilawal)
"Golden Light, golden light, fill me with Your golden light",sai,simple,medium fast,english,major (shankarabharanam / bilawal)
Greater is He than in the whole wide world,sai,simple,medium fast,english,major (shankarabharanam / bilawal)
"Guru Baba, Guru Baba, Sathya Sai Haha no Ai","sai, guru",simple,medium,japanese,minor (natabhairavi)
Guru no Miashi wo Agamemasho,sai,simple,medium fast,japanese,major (yaman kalyan)
Gurudev Gurudev Sathya Sai Gurudev Gurudev Jai,"guru, sai",simple,medium,english,major (shankarabharanam / bilawal)
Haha Naru Anata wo Sagasu tame ni Umareta,sai,simple,medium,japanese,major (shankarabharanam / bilawal)
"Haha noyou ni Ai wo Hagukumi, Chichi noyou ni Ai de Michibiku",sai,simple,medium,japanese,major (shankarabharanam / bilawal)
"May the morning shine bright on Your birthday, may the sky be a heavenly blue,",sai,simple,medium,english,major (shankarabharanam / bilawal)
Hari Guru Natha Prabhu Guru Natha Partheesha Natha ,"sai, guru",simple,medium fast,telugu,shankarabharanam / bilawal
I Got Something To Tell You,"sai, sarva dharma",simple,medium slow,english,major (shankarabharanam / bilawal)
He is Love,sai,simple,medium,english,major (shankarabharanam / bilawal)
"He Is Love, So Learn To Love",sai,simple,medium fast,english,major (shankarabharanam / bilawal)
HE performeth the thing that is given me to do,sai,simple,,english,major (shankarabharanam / bilawal)
He's Got The Whole World In His Hands (4),sai,simple,medium,english,major (shankarabharanam / bilawal)
"Beloved Baba, hear my wish, which I address to Thee,",sai,simple,medium,english,major (shankarabharanam / bilawal)
Hey Sai Jagannatha Hey Sai Jagannatha Hey Sai Jagannatha,sai,simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
He’s the one I turn to when I'm sad,sai,simple,medium,english,major (shankarabharanam / bilawal)
"Hold on, hold on (3x)",sai,simple,medium fast,english,minor (natabhairavi)
Holy Ground,sai,simple,slow,english,major (shankarabharanam / bilawal)
I am with you now,sai,simple,medium slow,english,minor (natabhairavi)
"I Am the grass, I Am the trees; I Am the air, I Am the breeze",sai,simple,medium slow,english,major (shankarabharanam / bilawal)
 I am God and you are God,sai,simple,medium fast,english,major (shankarabharanam / bilawal)
"I Am God, I Am God, I Am No Different From God",sai,simple,medium fast,english,minor (natabhairavi)
I am living in The Light,sai,simple,medium fast,english,major (shankarabharanam / bilawal)
"I Am One, Dear Sai, I Am One With Thee",sai,simple,fast,english,minor (natabhairavi)
I Am One With Thee O Thou Infinite One (3),sai,simple,medium slow,english,major (shankarabharanam / bilawal)
I Am That I Am,sai,simple,medium fast,english,major (shankarabharanam / bilawal)
"I am the River, You are the Ocean, Nagare Iku Anata no Moto he",sai,simple,medium slow,"japanese, english",major (shankarabharanam / bilawal)
"I believe in Love, I believe in Love",sai,simple,medium fast,english,~ major (shankarabharanam / bilawal)
"I bow to the feet, the lotus feet, the lotus feet of the Lord",sai,simple,medium fast,english,major (shankarabharanam / bilawal)
I don’t need to say goodbye,sai,simple,medium fast,english,major (shankarabharanam / bilawal)
I Keep Feeling Your Love In Me Over And Over Again,sai,simple,medium slow,english,minor (natabhairavi)
"I Love You Lord, I Love You",sai,simple,medium fast,english,minor (natabhairavi)
"I love You Swami, Swami I love You","sai, guru",simple,medium slow,"japanese, english",major (pahadi)
"I met Him in a dream, love flooded to me",sai,simple,medium,english,minor (natabhairavi)
I offer myself to Thee,sai,simple,slow,english,major (shankarabharanam / bilawal)
"I rejoice, I rejoice in God always (3x)",sai,simple,medium fast,english,major (shankarabharanam / bilawal)
"I surrender to the love of Sai, flowing through my life  (5x)",sai,simple,medium slow,english,major (shankarabharanam / bilawal)
"I surrender to You Baba, I surrender to You",sai,simple,medium fast,english,major (shankarabharanam / bilawal)
I Want To Hear You Call Me Bangaru,sai,simple,medium,english,major (shankarabharanam / bilawal)
I Will Come to You,sai,simple,medium slow,english,major (shankarabharanam / bilawal)
"I will follow, follow You",sai,simple,medium,english,minor (natabhairavi)
I Will Love You More And More Each Day,"sai, sarva dharma",simple,medium,english,major (shankarabharanam / bilawal)
People say that You're everywhere,sai,simple,medium slow,english,major (shankarabharanam / bilawal)
"In His eyes, compassion",sai,simple,medium,english,major (shankarabharanam / bilawal)
"In The Chambers Of My Heart, A Shrine I Have For Thee",sai,simple,medium fast,english,major (shankarabharanam / bilawal)
In The Chambers Of Your Heart,sai,simple,medium fast,english,minor (natabhairavi)
"In the dawn of creation You were there, You were there (2x)",sai,simple,medium fast,english,major (shankarabharanam / bilawal)
In the garden of my heart there I plant the seeds of love,sai,simple,medium,english,major (shankarabharanam / bilawal)
There I lay ... (there I lay) in the lap of the Lord,sai,simple,medium slow,english,major (mohanam / bhoop)
In The Sound Of Silence Is The Voice Of God,sai,simple,medium fast,english,major (shankarabharanam / bilawal)
"In the stillness of the morning, I listen for Your call, Bhagawan",sai,simple,medium slow,english,minor (natabhairavi)
"In times like this, I remember you",sai,simple,slow,english,major (mohanam / bhoop)
"Inochi ni Ikiyou, Chichi Naru Kami no Naka",sai,simple,slow,japanese,~ major (shankarabharanam / bilawal)
Its A Beautiful Day In Puttaparthi,sai,simple,medium,english,major (shankarabharanam / bilawal)
Its A Happy Happy Happy Day,sai,simple,fast,english,major (shankarabharanam / bilawal)
Itsukushimi Fukaki Sai,sai,simple,medium slow,japanese,minor (natabhairavi)
Itsumo Kokoro ni Ukaberu Anata no Mizugata,sai,simple,medium,japanese,minor (natabhairavi)
It’s who you really are,sai,simple,medium,english,major (mohanam / bhoop)
"I've Got The Joy Of Sai, Joy Of Sai, Down In My Heart, ...",sai,simple,fast,english,major (shankarabharanam / bilawal)
"Jesus Christ, Jesus Christ, Jesus Christ, whoa Jesus Christ (4)","jesus, sai",simple,fast,english,major (shankarabharanam / bilawal)
"Jesus said, “He who sent me will come again” (2x)",sai,simple,medium slow,english,minor (natabhairavi)
Jhule Merey Sai Jhule Merey Baba,sai,simple,medium,sanskrit / hindi,~ keeravani
Jhule Mey Jhule Merey Sai Ram,sai,simple,fast,sanskrit / hindi,pahadi
Just Baba,sai,simple,medium,english,major (shankarabharanam / bilawal)
Kailasa Nathaya Namah Om,sai,simple,medium,sanskrit / hindi,"shankarabharanam / bilawal, pilu"
Kami no Mina Hibikase,sai,simple,medium slow,japanese,minor (shuddha dhanyasi)
Kami no Mina wo Tonaeyou,sai,simple,medium,japanese,major (shankarabharanam / bilawal)
