Bhajan,Deity,Meaning,Level,Tempo,Language,Raga
Shankaram Bhajey Shankaram Bhajey ,Shiva,"Sing the glory of Lord Sai Shiva, dwelling in Puttaparti, the true Guru, who is existence, knowledge and bliss.",simple,medium fast,sanskrit / hindi,mohanam / bhoop
Shankara Naama Bhajo ,Shiva,"Worship Lord Shankara, Who wears the Moon on his Forehead, He is beloved of Gauri - Mother Nature.
Chant the Name of Lord Sai Shankara, who wears the golden-yellow garment",intermediate,medium,sanskrit / hindi,natabhairavi
Shankara Saamba Shiva Hara Hara ,Shiva,"Chant the names of Shankara, Samba Shiva, Hara (different names
for Shiva). You have the river Ganges in Your matted locks and You 
are the Lord of Gauri (Parvathi). You are the Supreme Lord 
with the crescent on Your head. You live in the Kailasa (mount 
Kailas in Himalayas). You are the Lord of Kashi (Varnasi, the most 
sacred place for Hindus). You are the Ocean of mercy, Oh Lord of Parthi",intermediate,medium,sanskrit / hindi,hindolam / malkauns
Shankara Sadaashiva Chandrasekara ,Shiva,"O Shankara, the ever auspicious Lord, whose head is adorned with the moon
O Auspicious Lord Sai, Shankara, the One with the blue complexion, weilding the Trident, 
the One with the third eye of wisdom on the forehead, The Lord who destroys evils in the three worlds",simple,medium fast,sanskrit / hindi,mohanam / bhoop
Shankara Shankara ,Shiva,"Chant the name of Shankara (Shiva), who wears the river Ganga
in His matted locks, the enchanting Shiva, the consort of Gauri (Parvathi",advanced,medium,sanskrit / hindi,abheri / bhimpalas
Shankara Shankara ,Shiva,"Chant the name of Shankara (Shiva), who wears the river Ganga
in His matted locks, the enchanting Shiva, the consort of Gauri (Parvathi",,,sanskrit / hindi,pantuvarali / puriya dhanashri
Shankara Shankara ,Shiva,"Chant the name of Shankara (Shiva), who wears the river Ganga
in His matted locks, the enchanting Shiva, the consort of Gauri (Parvathi",,,sanskrit / hindi,hamsadhwani
Shankara Shankara Sai Shankara ,Shiva,"Chant the name of Lord Sai Shankara, who is embodiment of sound
Form or Pranava (OM); Who is incarnation of present Kali Yuga. 
Worship Lord Sai Shankara of Parthi, who wears Moon on Head. ",,,sanskrit / hindi,hindolam / malkauns
Shankara Shankara Shankara ,Shiva,"Shiva, bestower of prosperity, of fearlessness, of grace,
Protect me, Lord Sai who is Shiva",,,sanskrit / hindi,hindolam / malkauns
Shankara Shankara Shankara Shankara Shambho Shankara ,Shiva,This is a namaavali or a string of Shiva's names.,advanced,slow,sanskrit / hindi,keeravani
Shankara Shiva Shankara Shiva Shankara Shambho ,Shiva,"Chant the Names of the Lord: Shankara, Shiva, Shambho and Mahadeva
Accompanied by 'Damaru' (drum) beats of 'Dama, Dama' and the sound of ringing bells (Ghanta) 'Ghana Ghana'. 
Chant the easy-to-please name of Lord Sai Naathha who destroys all miseries of life",advanced,medium,sanskrit / hindi,chakravakam / ahir bhairav
Shirdi Sai Shankara Parthi Vihaari Shankara ,Shiva,"Hey Shirdi Sai, You are Shankara, who is moving about in Parthi.
You instill fearlessness in the mind. You destroy 
the cycle of birth and death. You are the most sacred, most auspicious 
supreme Lord. You are the embodiment of Truth and You are Sai Shankara",intermediate,medium,sanskrit / hindi,mishra pahadi
Shiva Maheshwara Shiva Maheshwara Shiva Maheshwara Sai Ram ,Shiva,"Hail to Sai Baba, who is the great Lord Shiva; giver of
prosperity; who dwells on Kailas mountain; Lord of the universe, 
Shiva, Sai Baba; Protector of the three worlds, Shiva, who is our God Sai.",simple,medium fast,sanskrit / hindi,~ hindolam / malkauns
Shiva Shambho Hara Hara Shambho ,Shiva,"O Lord Shiva, the Destroyer and the Doer of Good, Destroyer of wordly ties, the Resident of Mount Kailash
Parvathi's Lord, the Lord of all creatures, Who wears the celestial Ganga, Gauri's Lord Shiva",simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Shiva Shankara Shiva Shankara Shiva Shankara Roopa Maheshwara Sai ,Shiva,"Worship the Lord of Lords, Sai Shankara. O Resident of
Kailasha! Thou art fond of the Tandava dance.",intermediate,medium fast,sanskrit / hindi,natabhairavi
Shiva Shiva Shambho Mahesha Gireesha ,Shiva,"Chant the names of Shiva, Shambho, Mahesha, Girisha, Hara, Mahadeva (
different names for Shiva). You have Nandi (bull) as Your vehicle. 
You are adorned with snakes (as ornaments). You have beautiful 
eyes and You roam in the three worlds. You are the Supreme Lord 
with river Ganges in Your matted locks. You wear the crescent 
shaped moon and You are the enchanter of Parvathi",intermediate,medium,sanskrit / hindi,shankarabharanam / bilawal
Shiva Shiva Shambho Thaandava Priyakara ,Shiva,"Lord Shiva, Who is auspicious and whose form is Truth, destroys
fear, sins and bondage of birth and death. With accompanied 
rhythm of drum he loves to dance the cosmic dance.",intermediate,medium fast,sanskrit / hindi,harikamboji
Shiva Shiva Shiva Shiva Shivaaya Namah Om ,Shiva,"I bow to Lord Shiva. Who is destroyer of the miseries of birth
and death. I prostrate before Lord of Shirdi, Lord of Parthi, who is Lord of Lords.",advanced,fast,sanskrit / hindi,madhyamavati / madhmad sarang
Shiva Shiva Shiva Shiva Shivaaya Namah Om ,Shiva,"I bow to Lord Shiva. Who is destroyer of the miseries of birth
and death. I prostrate before Lord of Shirdi, Lord of Parthi, who is Lord of Lords.",intermediate,medium slow,sanskrit / hindi,~ miyan ki malhar
Shiva Shiva Shiva Shiva Shivaaya Namah Om ,Shiva,"I bow to Lord Shiva. Who is destroyer of the miseries of birth
and death. I prostrate before Lord of Shirdi, Lord of Parthi, who is Lord of Lords.",advanced,slow,sanskrit / hindi,hamsanandi / sohini
Shiva Shiva Shivaaya Namah Om ,Shiva,"I bow to Lord Shiva, who is Destroyer of the miseries of birth and death.
I prostrate before Lord of Shirdi, Lord of Parthi, who is Lord of Lords",simple,medium fast,sanskrit / hindi,~ shankarabharanam / bilawal
Tripuraari Shiva Shankara ,Shiva,"Hey Shiva Shankara, the destroyer of the three worlds, the One
adorned with snakes, the One wearing a snake around His neck, 
hey Omkareshwara (Shiva - the Lord of Omkar), I prostrate to Thee. 
Oh Lord, You are the Lord of Kala (Time). Salutations to You, Lord of 
Puttaparthi, Lord of Shirdi, Lord of snow clad mountains (Shiva, Lord of 
Kailas), Consort of Uma.",simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Vishwadhaari Shiva Avathaari ,Shiva,"I prostrate to Lord Sai Baba who is the incarnation of Lord Shiva.
O Lord Narayana, O Lord of Mathura, O Lord of Parthi, O Bhagawaan 
Shree Sathya Sai Baba, I prostrate before Thee",advanced,medium slow,sanskrit / hindi,pantuvarali / puriya dhanashri
Vishwadhaari Shiva Avathaari ,Shiva,"I prostrate to Lord Sai Baba who is the incarnation of Lord Shiva.
O Lord Narayana, O Lord of Mathura, O Lord of Parthi, O Bhagawaan 
Shree Sathya Sai Baba, I prostrate before Thee",advanced,medium slow,sanskrit / hindi,pantuvarali / puriya dhanashri
Bhajorey Sadguru Sai Charanam ,Guru,"Worship the holy and pleasing to look at and touch, the Lotus
Feet of Lord Sai Baba of Parthipuri. They grant liberation and destroy sins.",advanced,,sanskrit / hindi,shankarabharanam / bilawal
Brahmaananda Guru Premaananda Guru ,Guru,"We surrender to our Guru and Lord Sai, Who is the Embodiment of love and bliss
Chant the Name of Shiva, Who is Lord of the universe and the Lord of Gauri 
Surrender to our Guru, The supreme Lord Shiva Sai",advanced,medium,sanskrit / hindi,~ tilak kamod
Dattha Guru Dattha Guru Datthathreya Guru ,Guru,"Chant the Holy names of Noble Teacher Datthathrey and Lord Sai
Nath. Reciting ever pure and spotless names of Lord Datthathrey 
and Lord Sai Nath destroys the fear and bondage of birth and death.",intermediate,medium fast,sanskrit / hindi,pilu
Guru Baba Guru Baba ,Guru,"Sai Baba, our Lord and Teacher; Bow to Baba's feet, chant his
name; Lord of truth and love; Guru who bestows knowledge; Baba, 
the very embodiment of peace; Baba, the most precious teacher.",simple,fast,sanskrit / hindi,harikamboji
Guru Baba Guru Baba ,Guru,"Sai Baba, our Lord and Teacher; Bow to Baba's feet, chant his
name; Lord of truth and love; Guru who bestows knowledge; Baba, 
the very embodiment of peace; Baba, the most precious teacher.",simple,fast,japanese,~ major (harikamboji)
Guru Dev Guru Dev ,Guru,"O Supreme Noble Teacher Sai! Guide us along the path of Truth,
Righteousness, Bliss and Love. Thou art the embodiment of 
Truth, Righteousness, Bliss and Love and these four are the secret meaning of a successful life.",simple,medium fast,sanskrit / hindi,pilu
Guru Deva Guru Deva ,Guru,"O Lord Sai Narayan! Lord of Guruvayur! Thou art the destroyer of
demon Mura. Please protect me, I have come to Thy refuge).",simple,medium fast,sanskrit / hindi,pilu
Guru Deva Guru Govinda ,Guru,"Chant the name of Lord of Lords, Lord of Parthi, Lord Sai who
confers auspiciousness, the One who was the consort of Seetha (Rama",advanced,medium slow,sanskrit / hindi,shankara
Guru Deva Jaya Deva ,Guru,"Glory to our guru, our God of Gods, Surrender to Lord Sai,
embodiment of Om, Lord of the Universe, supreme granter of wisdom",intermediate,medium,sanskrit / hindi,gavati
Guru Deva Sharanam Deva ,Guru,"We surrender to our guru and God,; Protect us Lord, Lord Sai,
your form is beauty itself, We surrender to our true guru, God",simple,medium slow,sanskrit / hindi,shivaranjani
Guru Devaaya Namo Namo ,Guru,"Bow again and again to: Supreme Noble Teacher, Supreme Lord, Lord whose
form is Om, Lord of Parthi, Lord of the Universe and Lord of Prashanti Nilayam, Lord Sai",intermediate,medium slow,sanskrit / hindi,kalyani / yaman
Guru Hara Guru Hari Guru Brahma ,Guru,"Glory to our guru Sai Baba who is Shiva, Vishnu and Brahma,
supreme almighty guru and God. All the universe is reflected in his form",intermediate,medium fast,sanskrit / hindi,~ desh
Guru Vara Naam Paavana Naam ,Guru,Sing/repeat the name of the Guru - Guru Nanak and Sai Baba,intermediate,medium,sanskrit / hindi,~ karaharapriya / kafi
Jaya Guru Jaya Guru Sai Ram ,Guru,"Hail to our Teacher! Sai Ram! You, Sathya, are the Teacher of this universe, Sai Ram!
You are the Trinity of Creator, Maintainer and Destroyer, Sai Ram! 
You are Mother, Father and Teacher of this universe, Sai Ram!",intermediate,medium,sanskrit / hindi,natabhairavi
Jaya Guru Omkaara Jaya Jaya Sadguru Omkaara Om ,Guru,"Glory to the Guru who is the embodiment of the sacred Om;
The true Guru is Brahma, Vishnu and Shiva. He is Shiva, the Supreme Lord",simple,fast,sanskrit / hindi,shankarabharanam / bilawal
Jaya Jaya Sadguru Sai Sada Shiva ,Guru,"Victory to Universal Auspicious Guru Lord Sai Baba of Parthipuri
who has great powers and who has sacred ash all over Him and who destroys sins. Chant the name 
of Shankara Shambho, Mahadeva, Nilakanta, Sada Shiva and Sai",intermediate,medium slow,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Jaya Jaya Sadguru Sai Sada Shiva ,Guru,"Victory to Universal Auspicious Guru Lord Sai Baba of Parthipuri
who has great powers and who has sacred ash all over Him and who destroys sins. Chant the name 
of Shankara Shambho, Mahadeva, Nilakanta, Sada Shiva and Sai",intermediate,medium slow,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Maanasa Bhajorey Guru Charanam ,Guru,"O mind, worship the Lotus Feet of your God and Supreme
Teacher, Sai Baba. That will take you safely across the ocean of 
life and death. Victory to our Lord and supreme Teacher, Sai Nath! 
Mind, also chant and worship the divine names of Lord Shiva who 
dwells on the Arunachala mountain and Sai Baba whose form is OM. ",simple,medium fast,sanskrit / hindi,yaman kalyan
Maanasa Bhajorey Guru Charanam ,Guru,"O mind, worship the Lotus Feet of your God and Supreme
Teacher, Sai Baba. That will take you safely across the ocean of 
life and death. Victory to our Lord and supreme Teacher, Sai Nath! 
Mind, also chant and worship the divine names of Lord Shiva who 
dwells on the Arunachala mountain and Sai Baba whose form is OM. ",advanced,slow,sanskrit / hindi,~ shivaranjani
Maanasa Bhajorey Guru Charanam ,Guru,"Worship in the mind the feet of the Guru, Bow in reverence to
Sai's feet that glow in pure hearts, They cover the world of 
animate and inanimate, they can carry you across the ocean of life, we bow in reverence to Sai Baba's holy feet.",simple,medium fast,sanskrit / hindi,yaman kalyan
Maanasa Bhajorey Guru Charanam ,Guru,"Worship in the mind the feet of the Guru, Bow in reverence to
Sai's feet that glow in pure hearts, They cover the world of 
animate and inanimate, they can carry you across the ocean of life, we bow in reverence to Sai Baba's holy feet.",advanced,slow,sanskrit / hindi,~ shivaranjani
Namana Karoo Mey Guru Charanam ,Guru,"I bow in deep reverence to the Lotus Feet of my Lord and
preceptor. He is the embodiment of supreme bliss. He confers on 
us absolute peace and tranquility. He brings auspiciousness into 
our lives. He is Sai Baba the darling son of Eashwaramba.",simple,,sanskrit / hindi,kalyani / yaman
Namana Karoo Mey Guru Charanam ,Guru,"I bow to the Lotus Feet of my Guru, my Divine Teacher Sai Baba, who
dwells in Puttaparthi, who is an incarnation of the Sai Baba (who 
lived in Shirdi near Bombay many years ago and was revered by all 
in that area as God), who is the Lord and master of all devotees, 
the One that causes the most beautiful things to happen to us. I 
bow to the Lotus Feet of my Sathya Sai Baba, my Divine Teacher.",simple,,sanskrit / hindi,kalyani / yaman
Namana Karoo Mey Guru Charanam ,Guru,"I bow at the Lotus Feet of Noble Guru, Sai Rama. I have come
to Thee for protection. I surrender to Lord Vishnu and Shiva.",simple,,sanskrit / hindi,kalyani / yaman
Prathah Smaranam Shree Guru Charanam ,Guru,"Always remember the Sacred Feet of Lord Sai; and take refuge
and surrender at the feet of Sai, who will bestow supreme bliss.",advanced,slow,sanskrit / hindi,vakulabharanam / basant mukhari
Sad Guru Brahma Sanathana Hey ,Guru,"Worship merciful noble guru Lord Sai Krishna whose form is
Brahma - infinity, saviour of world. You help to overcome fear of crossing the ocean of life and death.",intermediate,medium,sanskrit / hindi,darbari
Sad Guru Charanam Sada Smaraami ,Guru,Bow and meditate at the lotus feet of Lord Sai.,,,sanskrit / hindi,mayamalavagowla / bhairav
Sad Guru Dev Raaha Dikhaavo Prabhu ,Guru,"Noble and respected teacher, please guide me on the correct
path. Show me the way (to salvation) Lord Sai. You brought me 
into this world. You gave me material prosperity. You gave me 
knowledge and discrimination. With all that I still fumble and do 
not know which is the right path for me. Please show me the way.",intermediate,slow,sanskrit / hindi,yaman kalyan
Sai Guru Deva Janaardhana ,Guru,"Recite the name of Sai Rama, destroyer of fear, of bondage of
birth and death. Worship the Lotus Feet of Sai Rama, who confers auspiciousness.",simple,medium fast,sanskrit / hindi,harikamboji
Sai Naathha Deena Naathha Brahma Roopa Sad Guru ,Guru,"O Supreme Teacher Lord Sathya Sai ! Thou art omnipresent, pure
with and without form, having Aum as Thy sound form.",simple,medium fast,sanskrit / hindi,hamsadhwani
Aajanu Bahum Aravinda Nethram ,Rama,"Mediate on the form of Rama, whose abode is the heart of
Devotees. Rama has arms, stretching up to his knees and has eyes 
of a blooming lotus, the dweller of Parthi, which is truly heaven on earth.",advanced,medium,sanskrit / hindi,tilang
Atma Rama Aananda Rama ,Rama,"O Lord Rama! Indweller of hearts, Your form is happiness, bliss
and love. You are embodiment of virtues and assumed illusive form of human being through Maya.",simple,medium,sanskrit / hindi,kanada
Atma Rama Aananda Rama ,Rama,"O Lord Rama! Indweller of hearts, Your form is happiness, bliss
and love. You are embodiment of virtues and assumed illusive form of human being through Maya.",simple,medium,sanskrit / hindi,kanada
Atma Rama Aananda Ramana ,Rama,"Chant the name of Rama, bestower of happiness and resident of
our heart. Worship the Lotus Feet of Lord Narayana, Achyutha, 
Keshava and Hari, destroys the fear of cycle of birth and death. 
Pray: Lotus-eyed Rama of Raghu Dynasty; Lord Narayana, resting 
on coiled serpent: Lord Sathya Narayana, Who is embodiment of Truth and bliss.",simple,medium,sanskrit / hindi,kanada
Atma Rama Aananda Ramana ,Rama,"Chant the name of Rama, bestower of happiness and resident of
our heart. Worship the Lotus Feet of Lord Narayana, Achyutha, 
Keshava and Hari, destroys the fear of cycle of birth and death. 
Pray: Lotus-eyed Rama of Raghu Dynasty; Lord Narayana, resting 
on coiled serpent: Lord Sathya Narayana, Who is embodiment of Truth and bliss.",simple,medium,sanskrit / hindi,kanada
Ayodhya Vaasi Ram Hai Dwaraka Mey Ayee ,Rama,"O Lord of Ayodhya, Lord Ram! Thou incarnated in Dwarka (City)
as Lord Shyaama. O Lord Shyaama! Thou incarnated in Shirdi as 
Lord of Shirdi. Thou incarnated as Lord Sathya Sai Ram in 
Puttaparthi. Chant all together, ""Sathya Sai Ram, Ram Ram"".",intermediate,medium,sanskrit / hindi,shekara chandrika / gujari todi
Ayodhya Vaasi Ram Hai Dwaraka Mey Ayee ,Rama,"O Lord of Ayodhya, Lord Ram! Thou incarnated in Dwarka (City)
as Lord Shyaama. O Lord Shyaama! Thou incarnated in Shirdi as 
Lord of Shirdi. Thou incarnated as Lord Sathya Sai Ram in 
Puttaparthi. Chant all together, ""Sathya Sai Ram, Ram Ram"".",intermediate,medium,sanskrit / hindi,shekara chandrika / gujari todi
Ayodhya Vaasi Ram Ram Ram Dasaratha Nandana Ram ,Rama,"Lord Ram, residing in Ayodya, son of Dasaratha; purifier of
sin, the enchanter of Seetha, the very life of Janaki.",intermediate,medium fast,sanskrit / hindi,mohanam / bhoop
Bhaja Mana Ram Bhaja Mana Ram ,Rama,"O Mind! Worship Lord Rama, Panduranga, Keshava, Madhava,
Yadava, Mukunda and Govinda. Be in bliss worshipping all these 
names of the Lord.",simple,medium,sanskrit / hindi,tilak kamod
Bhaja Mana Ram Bhaja Mana Ram ,Rama,"O Mind! Worship Lord Rama, Panduranga, Keshava, Madhava,
Yadava, Mukunda and Govinda. Be in bliss worshipping all these 
names of the Lord.",,,sanskrit / hindi,kalyani / yaman
Bhaja Mana Ramam Shree Ramam ,Rama,"O Mind! Worship Lord Rama: Who is beautiful and delicate;
protector of devotees; worshipped and meditated upon by Hanuman.",advanced,medium fast,sanskrit / hindi,brindavan sarang
Bhajo Mana Bhajo Rama Ram ,Rama,"Let your mind worship Rama in song; Rama glorious Lord; Sing the glory of Rama
Let your mind worship the name of our Lord Baba; Sing the glory of Sathya Sai who is Rama; Rama the glorious Lord",intermediate,medium slow,sanskrit / hindi,pantuvarali / puriya dhanashri
Bhajo Mana Ram Bhajo Mana Ram ,Rama,"O mind! chant the name of Lord Rama and Sai Ram. Worship Lord Ram, Mother Sai.",simple,medium,sanskrit / hindi,tilak kamod
Bhajo Mana Ram Bhajo Mana Ram ,Rama,"O mind! chant the name of Lord Rama and Sai Ram. Worship Lord Ram, Mother Sai.",,,sanskrit / hindi,kalyani / yaman
Bhajorey Sadaa Bhajo Ram Krishna Govinda ,Rama,"Always chant the name of Lord Rama, Krishna, Govinda and Sai
Ram. It is the support and shelter of the needy and to those who have no support",simple,medium fast,sanskrit / hindi,hamsadhwani
Chanda Kirana Kula Mandana Ram ,Rama,"This is a prayer to Ram who: Descended from the same lineage as Sun; Is the son of King Dasaratha;
A delight for Kausalya (mother); A beloved treasure of Viswamitra (Guru",advanced,medium fast,sanskrit / hindi,atana
Daanava Bhanjana Rama Sai Shyaamala Komala Ram ,Rama,"Charming, sweet Ram, You killed the demons (Danavas). The
delight of Dasharatha; You are the Ocean of Compassion. Ram, 
You are the Lord of the helpless, come again as Sai.",intermediate,medium,sanskrit / hindi,pilu
Dasaratha Nandana Rama Dayaa Saagara Rama ,Rama,"O Merciful Lord Ram! O Prince of King Dasharatha! Thou slew
the ten-headed demon Ravana. Just by hearing Thy Sacred name, 
demons run away. Thou art worshipped and attended by Brother 
Lakshmana. One attains happiness by worshipping Thy beautiful and enchanting Form",intermediate,medium slow,sanskrit / hindi,darbari
Dasaratha Nandana Rama Dayaa Saagara Rama ,Rama,"O Merciful Lord Ram! O Prince of King Dasharatha! Thou slew
the ten-headed demon Ravana. Just by hearing Thy Sacred name, 
demons run away. Thou art worshipped and attended by Brother 
Lakshmana. One attains happiness by worshipping Thy beautiful and enchanting Form",advanced,medium,sanskrit / hindi,desh
Dasharatha Nandana Ramachandra Prabhu Jaanaki Jeevana Jai Jai Ram ,Rama,"Glory to Thee, O Lord Ramachandra, The Son of Dasharatha and the life of Janaki,
Thou art the Embodiment of Compassion and Purity; The Jewel of the Raghu dynasty, the Uplifter of the fallen, 
O King of the Raghus, Thou art the Lord of Seetha",advanced,,sanskrit / hindi,sindhu bhairavi / bhairavi
Dasharatha Ram Jaanaki Ram ,Rama,"O Lord Ram! O Prince of King Dasharatha! O Lord of Seetha! Thou
art constantly worshippped by Hanuman (Maruti - a monkey devotee 
of Lord Rama). Victory to ever-blissful and beautiful Lord 
Rama - Lord of Janaki (Seetha), the Saviour of Ahalya (Saint 
devotee). Chant the name of Lord of Parthipuri, Lord Sai Ram.",intermediate,medium slow,sanskrit / hindi,~ pilu
Dasharathey Rama Jaya Jaya Rama ,Rama,"Victory to Lord Ram, Prince of King Dasharath and the Jewel of
Raghu Dynasty. Chant the name of Lord Ram, the beautiful faced 
Lord of Seetha. Chant the name of Lord Sai Ram.",advanced,medium,sanskrit / hindi,shivaranjani
Dayaabhi Rama Jaanaki Rama ,Rama,"O Resident of the heart of devotees and holder of ""Kodanda""
bow! Thou art merciful and beautiful to look at. Chant the 
name of King Rama of Raghukul dynasty and beautiful and enchanting Ram.",advanced,medium slow,sanskrit / hindi,khamaj
Harey Krishna Harey Krishna Krishna Krishna Harey Harey ,Rama,Chant the names of Krishna and Rama,simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Harey Krishna Harey Krishna Krishna Krishna Harey Harey ,Rama,Chant the names of Krishna and Rama,intermediate,medium,sanskrit / hindi,"shankarabharanam / bilawal, khamaj"
Harey Rama Harey Rama Rama Rama Harey Harey ,Rama,"Glory to Ram and Krishna; Hail to that noble teacher
who is Brahma, Vishnu and Shiva and who is truly the 
Supreme Brahman. I offer my salutations to such a Guru",simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Harey Rama Harey Rama Rama Rama Harey Harey ,Rama,"Glory to Ram and Krishna; Hail to that noble teacher
who is Brahma, Vishnu and Shiva and who is truly the 
Supreme Brahman. I offer my salutations to such a Guru",,,sanskrit / hindi,
Harey Rama Harey Rama Rama Rama Harey Harey ,Rama,Chant the names of Lord Rama and Lord Krishna,simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Harey Rama Harey Rama Rama Rama Harey Harey ,Rama,Chant the names of Lord Rama and Lord Krishna,,,sanskrit / hindi,
Harey Rama Harey Rama Rama Rama Harey Harey ,Rama,"Chant the name of Lord Rama, Krishna, Madhava, Raghava.
Chanting the mantra ""Harey Rama..... Rakshamam"" destroys the miseries of life and grants protection",simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Harey Rama Harey Rama Rama Rama Harey Harey ,Rama,"Chant the name of Lord Rama, Krishna, Madhava, Raghava.
Chanting the mantra ""Harey Rama..... Rakshamam"" destroys the miseries of life and grants protection",,,sanskrit / hindi,
Hari Bolo Harey Ram Naam ,Rama,"Chant the Divine names of Lord Rama, Lord Krishna and Lord Sathya Sai",intermediate,medium fast,sanskrit / hindi,sumanesa ranjani / madhukauns
Hey Ram Bhagawaan ,Rama,"Hey Ram, Sai, You are the ocean of compassion, helper of the
helpless, the lover of devotees, please blessme. 
Oh Lord, You are the life of Janaki (Seetha), You are the 
resident of Parthi, please grace me and uplift me",intermediate,medium slow,sanskrit / hindi,pilu
Hey Ram Hey Guna Dhaam ,Rama,"O Rama, You verily are an ocean of virtue. So handsome, You are
the life and joy of Your consort Seetha and Your mother Kausalya. 
Hey son of Kausalya, You are the jewel of Ayodhya, victory to You!",simple,medium fast,sanskrit / hindi,yaman kalyan
Hey Ram Parthipureeswara Ram ,Rama,"O Lord Ram, Thou has incarnated as Lord Sai Ram of Partipuri.
You are dear to Vaidehi (Seetha); You uplift the fallen. You are adorned by the gems and jewels, You 
are the loving Prince of Mother Kausalya. Hey, slayer of the demon Ravana, You are 
worshipped by Hanuman (devotee",advanced,medium slow,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Jai Hari Bol Jai Seetha Ram Gopi Gopaala Bhajo Radhe Shyaam ,Rama,"Glory to Seetha Ram! Sing the glory of the blue-complexioned Lord of the cows and cow-maids
Glory to Rama, Son of Dasharatha and Successor of Raghu; Glory to the Nanda's young Son, Brindavan's Darling, 
the Stealer of butter (souls), beloved Govinda ",intermediate,medium fast,sanskrit / hindi,pahadi
Janaki Jeevana Rama Raghuveera ,Rama,"O valiant King Rama! O Lord of the Universe! O Charming Divine Prince!
Thou art the Lord of Seetha and destroyer of evils and remover of fear. Glory to Thee, O Purest One!",advanced,medium slow,sanskrit / hindi,mayamalavagowla / bhairav
Jaya Jaya Raghunandana Jaya Jaanaki Jeevana ,Rama,"Victory to Rama, the very life of Seetha, the One who protects
those who have surrendered to Him, the One who uplifts the entire 
world, the lotus-eyed Rama, the delight of the whole world, King 
of kings, oh Sai You are worshipped and adored by one and all.",advanced,slow,sanskrit / hindi,bageshri
Jaya Jaya Rama Jaanaki Rama ,Rama,"Victory to Rama and Seetha, Rama, the jewel of the Raghu Dynasty;
the delight of ascetics, whose name bestows salvation. He is the destroyer of demons with his bow Kodanda.",advanced,medium fast,sanskrit / hindi,vakulabharanam / basant mukhari
Jaya Jaya Rama Jaanaki Rama ,Rama,"Victory to Rama and Seetha, Rama, the jewel of the Raghu Dynasty;
the delight of ascetics, whose name bestows salvation. He is the destroyer of demons with his bow Kodanda.",intermediate,medium slow,sanskrit / hindi,bihag
Jaya Raghu Nandana Jaya Jaya Ram ,Rama,"Victory to Thee, son of Raghu clan, Hey Ram. Victory to Thee, Ram, Sai Ram.
Hey Rama, Thou art the consort of Seetha. You are the uplifter of the devotees. 
You are also the Lord of Meera and consort of Radha. Oh great Krishna, who lifted Govardhan mountain, 
You are the One with a smiling face. Oh Sai Ram You are the incarnation (of Krishna and Rama",intermediate,medium,sanskrit / hindi,mohanam / bhoop
Jaya Raghu Nandana Jaya Jaya Ram ,Rama,"Victory to Thee, son of Raghu clan, Hey Ram. Victory to Thee, Ram, Sai Ram.
Hey Rama, Thou art the consort of Seetha. You are the uplifter of the devotees. 
You are also the Lord of Meera and consort of Radha. Oh great Krishna, who lifted Govardhan mountain, 
You are the One with a smiling face. Oh Sai Ram You are the incarnation (of Krishna and Rama",advanced,medium slow,sanskrit / hindi,kalyani / yaman
Jaya Rama Harey Jaya Rama Harey Jaya Seetha Rama Harey ,Rama,"Victory to Lord Ram, Lord Krishna and Lord Sai Ram. Chanting the names of the Lord destroys evil",intermediate,medium,sanskrit / hindi,keeravani
Jaya Rama Raghu Rama ,Rama,"Glory to Rama, Lord of the Raghu Clan, brave and skillful in
battle, yet of gentle disposition, King Rama who is Sai Rama, the lotus-eyed Lord Rama.",simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Jayathu Jayathu Rama ,Rama,"Victory to Lord Rama, destroyer of fear of birth and death, the
Lord of Seetha and the pride of Raghu dynasty",intermediate,medium slow,sanskrit / hindi,revagupti
Kab Logey Khabar Morey Ram ,Rama,"O Lord Sai! When Thou shall look at me and accept me by
showering Thy Grace on me. Chant the name of Lord Sai and Lord Krishna.",intermediate,medium,sanskrit / hindi,shankarabharanam / bilawal
Kalimala Bhanjana Kodanda Rama ,Rama,"Worship Lord Rama (depicted with His Bow)! He destroys the
evils of this Kali age. The sages loved His compassion and His 
human form which He assumed with the power of His Maya. His 
sweet auspicious name enchants the mind. He is the Lord of Puttaparthi, 
He is the Paramatma, the helper of the destitute, Lord Rama.",advanced,slow,sanskrit / hindi,bhavapriya
Kausalya Nandana Ram Paramaananda Aananda Ram ,Rama,"Ram, the son of Kausalya, the personification of Supreme Bliss,
Victory to Thee, Hey Ram of Shirdi, of Parthi, of Prashanti Nilayam. 
Victory to the most holy and sacred name Ram. Victory to the beautiful Ram of Seetha (Vaidehi). 
Victory to the enchanting beautiful Sai Ram",intermediate,medium fast,sanskrit / hindi,pahadi
